Ativo,cod_Ativo_guess_norm,cod_Ativo_norm_match,Fundo,Fundo_final
Provisão,PROVISAO,,MINAS DIVIDENDOS,MINAS DIVIDENDOS
Provisão,PROVISAO,,MINAS O.N.E. FIA,MINAS O.N.E. FIA
Provisão,PROVISAO,,REAL FIM,REAL FIM
Provisão,PROVISAO,,ROMEU FC FIM CP IE,ROMEU FC FIM CP IE
Provisão,PROVISAO,,TOPAZIO INFRA,TOPAZIO INFRA
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES,FIRF GERAES
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES 30,FIRF GERAES 30
LFSN250093T,LFSN250093T,LFSN250093T,HORIZONTE,HORIZONTE
LFSN1900008,LFSN1900008,LFSN1900008,FIRF GERAES,FIRF GERAES
LFSN1800HXO,LFSN1800HXO,LFSN1800HXO,FIRF GERAES,FIRF GERAES
LFSN1800D4X,LFSN1800D4X,LFSN1800D4X,FIRF GERAES,FIRF GERAES
LFSN1900CR5,LFSN1900CR5,LFSN1900CR5,FIRF GERAES 30,FIRF GERAES 30
LFSN1800DS5,LFSN1800DS5,LFSN1800DS5,JERA2026,JERA2026
LFSN1800D4W,LFSN1800D4W,LFSN1800D4W,JERA2026,JERA2026
LFSN RCI,LFSNRCI,,FIRF GERAES,FIRF GERAES
LFSN RCI,LFSNRCI,,FIRF GERAES 30,FIRF GERAES 30
LFSN19001BH,LFSN19001BH,LFSN19001BH,BH FIRF INFRA,BH FIRF INFRA
LFSN210099R,LFSN210099R,LFSN210099R,BH FIRF INFRA,BH FIRF INFRA
LFSN19006KN,LFSN19006KN,LFSN19006KN,FIRF GERAES,FIRF GERAES
LFSN19006KM,LFSN19006KM,LFSN19006KM,FIRF GERAES 30,FIRF GERAES 30
LFSN19006KM,LFSN19006KM,LFSN19006KM,HORIZONTE,HORIZONTE
LFSN210099R,LFSN210099R,LFSN210099R,HORIZONTE,HORIZONTE
LFSN19001BC,LFSN19001BC,LFSN19001BC,JERA2026,JERA2026
LFSN19006KM,LFSN19006KM,LFSN19006KM,MANACA INFRA FIRF,MANACA INFRA FIRF
LFSN19006KM,LFSN19006KM,LFSN19006KM,REAL FIM,REAL FIM
LFSN1800DIG,LFSN1800DIG,LFSN1800DIG,FIRF GERAES,FIRF GERAES
LFSN1800DG1,LFSN1800DG1,LFSN1800DG1,JERA2026,JERA2026
LFSN2200E75,LFSN2200E75,LFSN2200E75,BH FIRF INFRA,BH FIRF INFRA
LFSN2200E75,LFSN2200E75,LFSN2200E75,FIRF GERAES,FIRF GERAES
LFSN2200E75,LFSN2200E75,LFSN2200E75,FIRF GERAES 30,FIRF GERAES 30
LFSN2200E75,LFSN2200E75,LFSN2200E75,HORIZONTE,HORIZONTE
LFSN2200E75,LFSN2200E75,LFSN2200E75,MANACA INFRA FIRF,MANACA INFRA FIRF
LFSN2200E75,LFSN2200E75,LFSN2200E75,REAL FIM,REAL FIM
LFSN1900971,LFSN1900971,LFSN1900971,BH FIRF INFRA,BH FIRF INFRA
LFSN19009YU,LFSN19009YU,LFSN19009YU,BH FIRF INFRA,BH FIRF INFRA
LFSN1900971,LFSN1900971,LFSN1900971,BORDEAUX INFRA,BORDEAUX INFRA
LFSN1900971,LFSN1900971,LFSN1900971,FIRF GERAES,FIRF GERAES
LFSN19009YU,LFSN19009YU,LFSN19009YU,FIRF GERAES,FIRF GERAES
LFSN1900971,LFSN1900971,LFSN1900971,FIRF GERAES 30,FIRF GERAES 30
LFSN2200G2L,LFSN2200G2L,LFSN2200G2L,FIRF GERAES,FIRF GERAES
LFSN2200G7D,LFSN2200G7D,LFSN2200G7D,FIRF GERAES 30,FIRF GERAES 30
LFSN2200G2K,LFSN2200G2K,LFSN2200G2K,HORIZONTE,HORIZONTE
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,HORIZONTE,HORIZONTE
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,MANACA INFRA FIRF,MANACA INFRA FIRF
LFSN2200G2K,LFSN2200G2K,LFSN2200G2K,REAL FIM,REAL FIM
LFSC24000BB,LFSC24000BB,LFSC24000BB,BH FIRF INFRA,BH FIRF INFRA
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES,FIRF GERAES
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES 30,FIRF GERAES 30
LFSC24000BB,LFSC24000BB,LFSC24000BB,HORIZONTE,HORIZONTE
LFSC24000BB,LFSC24000BB,LFSC24000BB,MANACA INFRA FIRF,MANACA INFRA FIRF
LFSC24000BB,LFSC24000BB,LFSC24000BB,REAL FIM,REAL FIM
LFSC24000BB,LFSC24000BB,LFSC24000BB,TOPAZIO INFRA,TOPAZIO INFRA
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES,FIRF GERAES
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES 30,FIRF GERAES 30
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,HORIZONTE,HORIZONTE
LFSC19005L3,LFSC19005L3,LFSC19005L3,BH FIRF INFRA,BH FIRF INFRA
LFSC190054D,LFSC190054D,LFSC190054D,BH FIRF INFRA,BH FIRF INFRA
LFSC190054D,LFSC190054D,LFSC190054D,FIRF GERAES,FIRF GERAES
LFSC19005FF,LFSC19005FF,LFSC19005FF,FIRF GERAES 30,FIRF GERAES 30
LFSC19005L3,LFSC19005L3,LFSC19005L3,FIRF GERAES 30,FIRF GERAES 30
LFSC190054I,LFSC190054I,LFSC190054I,FIRF GERAES 30,FIRF GERAES 30
LFSC19005L1,LFSC19005L1,LFSC19005L1,HORIZONTE,HORIZONTE
LFSC19005FF,LFSC19005FF,LFSC19005FF,HORIZONTE,HORIZONTE
LFSC190054I,LFSC190054I,LFSC190054I,HORIZONTE,HORIZONTE
LFSC190054C,LFSC190054C,LFSC190054C,HORIZONTE,HORIZONTE
LFSC190059S,LFSC190059S,LFSC190059S,HORIZONTE,HORIZONTE
LFSC190054D,LFSC190054D,LFSC190054D,HORIZONTE,HORIZONTE
LFSC190054D,LFSC190054D,LFSC190054D,MANACA INFRA FIRF,MANACA INFRA FIRF
LFSC25004NH,LFSC25004NH,LFSC25004NH,FIRF GERAES,FIRF GERAES
LFSC25004NH,LFSC25004NH,LFSC25004NH,FIRF GERAES 30,FIRF GERAES 30
LFSC25004NH,LFSC25004NH,LFSC25004NH,HORIZONTE,HORIZONTE
LFSC24001JT,LFSC24001JT,LFSC24001JT,BH FIRF INFRA,BH FIRF INFRA
LFSC24001P6,LFSC24001P6,LFSC24001P6,BH FIRF INFRA,BH FIRF INFRA
LFSC24001JQ,LFSC24001JQ,LFSC24001JQ,FIRF GERAES,FIRF GERAES
LFSC24001JR,LFSC24001JR,LFSC24001JR,FIRF GERAES 30,FIRF GERAES 30
LFSC24001JU,LFSC24001JU,LFSC24001JU,HORIZONTE,HORIZONTE
LFSC24001JP,LFSC24001JP,LFSC24001JP,JERA2026,JERA2026
LFSC24001JS,LFSC24001JS,LFSC24001JS,MANACA INFRA FIRF,MANACA INFRA FIRF
LFSC24001JV,LFSC24001JV,LFSC24001JV,REAL FIM,REAL FIM
LFSC24001P5,LFSC24001P5,,TOPAZIO INFRA,TOPAZIO INFRA
LF002305RGO,LF002305RGO,LF002305RGO,BH FIRF INFRA,BH FIRF INFRA
LF002400951,LF002400951,,BH FIRF INFRA,BH FIRF INFRA
LF002400951,LF002400951,,FIRF GERAES,FIRF GERAES
LF002305RFW,LF002305RFW,LF002305RFW,FIRF GERAES,FIRF GERAES
LF002305RFO,LF002305RFO,LF002305RFO,FIRF GERAES,FIRF GERAES
LF002400951,LF002400951,,FIRF GERAES 30,FIRF GERAES 30
LF002305RGL,LF002305RGL,LF002305RGL,HORIZONTE,HORIZONTE
LF002400951,LF002400951,,HORIZONTE,HORIZONTE
LF002400951,LF002400951,,JERA2026,JERA2026
LF002305RGQ,LF002305RGQ,LF002305RGQ,JERA2026,JERA2026
LF002305RGD,LF002305RGD,LF002305RGD,JERA2026,JERA2026
LF002305RG9,LF002305RG9,LF002305RG9,MANACA INFRA FIRF,MANACA INFRA FIRF
LF002400951,LF002400951,,MANACA INFRA FIRF,MANACA INFRA FIRF
LF002305RGM,LF002305RGM,LF002305RGM,REAL FIM,REAL FIM
LF002400ATX,LF002400ATX,,BH FIRF INFRA,BH FIRF INFRA
LF002400BZO,LF002400BZO,LF002400BZO,FIRF GERAES,FIRF GERAES
LF002400BZO,LF002400BZO,LF002400BZO,FIRF GERAES 30,FIRF GERAES 30
LF002400BZO,LF002400BZO,LF002400BZO,JERA2026,JERA2026
LF002400BZO,LF002400BZO,LF002400BZO,REAL FIM,REAL FIM
LF0024007OE,LF0024007OE,LF0024007OE,BH FIRF INFRA,BH FIRF INFRA
LF002400GAO,LF002400GAO,LF002400GAO,FIRF GERAES,FIRF GERAES
LF0024007OE,LF0024007OE,LF0024007OE,FIRF GERAES,FIRF GERAES
LF002400GAO,LF002400GAO,LF002400GAO,FIRF GERAES 30,FIRF GERAES 30
LF0024007OE,LF0024007OE,LF0024007OE,HORIZONTE,HORIZONTE
LF002400GAO,LF002400GAO,LF002400GAO,JERA2026,JERA2026
LF0024007OE,LF0024007OE,LF0024007OE,JERA2026,JERA2026
LF0024007OE,LF0024007OE,LF0024007OE,MANACA INFRA FIRF,MANACA INFRA FIRF
LF0024007OE,LF0024007OE,LF0024007OE,REAL FIM,REAL FIM
LF002308CS3,LF002308CS3,LF002308CS3,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LF002400LQY,LF002400LQY,LF002400LQY,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LF0024008OB,LF0024008OB,LF0024008OB,BMG SEG,BMG SEG
LF0024008OB,LF0024008OB,LF0024008OB,FIRF GERAES,FIRF GERAES
LF0024007Y4,LF0024007Y4,LF0024007Y4,FIRF GERAES,FIRF GERAES
LF002200G90,LF002200G90,LF002200G90,JERA2026,JERA2026
LF0023082A5,LF0023082A5,LF0023082A5,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LF002400Q09,LF002400Q09,LF002400Q09,BH FIRF INFRA,BH FIRF INFRA
LF002400Q0C,LF002400Q0C,LF002400Q0C,FIRF GERAES,FIRF GERAES
LF002400Q0B,LF002400Q0B,LF002400Q0B,FIRF GERAES,FIRF GERAES
LF002400Q0D,LF002400Q0D,LF002400Q0D,FIRF GERAES 30,FIRF GERAES 30
LF002400Q0A,LF002400Q0A,LF002400Q0A,REAL FIM,REAL FIM
LF002400EY5,LF002400EY5,LF002400EY5,BH FIRF INFRA,BH FIRF INFRA
LF002400EY5,LF002400EY5,LF002400EY5,FIRF GERAES,FIRF GERAES
LF002400EY5,LF002400EY5,LF002400EY5,FIRF GERAES 30,FIRF GERAES 30
LF002400EY5,LF002400EY5,LF002400EY5,JERA2026,JERA2026
LF002400EY5,LF002400EY5,LF002400EY5,MANACA INFRA FIRF,MANACA INFRA FIRF
LF002400EY5,LF002400EY5,LF002400EY5,REAL FIM,REAL FIM
LF002400LGY,LF002400LGY,LF002400LGY,BMG SEG,BMG SEG
LF002400KBW,LF002400KBW,LF002400KBW,FIRF GERAES,FIRF GERAES
LF002400LGS,LF002400LGS,LF002400LGS,FIRF GERAES,FIRF GERAES
LF002400KBU,LF002400KBU,LF002400KBU,FIRF GERAES,FIRF GERAES
LF002400LGT,LF002400LGT,LF002400LGT,FIRF GERAES,FIRF GERAES
LF002400LGM,LF002400LGM,LF002400LGM,FIRF GERAES,FIRF GERAES
LF002400LGS,LF002400LGS,LF002400LGS,FIRF GERAES 30,FIRF GERAES 30
LF002400KBY,LF002400KBY,LF002400KBY,FIRF GERAES 30,FIRF GERAES 30
LF002400KBT,LF002400KBT,LF002400KBT,FIRF GERAES 30,FIRF GERAES 30
LF002400KC0,LF002400KC0,LF002400KC0,JERA2026,JERA2026
LF002400KBX,LF002400KBX,LF002400KBX,MANACA INFRA FIRF,MANACA INFRA FIRF
LF002400KC1,LF002400KC1,LF002400KC1,REAL FIM,REAL FIM
LF002400LGV,LF002400LGV,LF002400LGV,REAL FIM,REAL FIM
LF002400KC2,LF002400KC2,LF002400KC2,TOPAZIO INFRA,TOPAZIO INFRA
LF002400GJ4,LF002400GJ4,LF002400GJ4,FIRF GERAES,FIRF GERAES
